groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00525478.txt,..\..\Submissions\gt4hist\00525478.txt,1634,1639,0.8365973072,gt4hist\00525478.txt,gt4hist,00525478.txt,0
..\..\groundtruth\00525479.txt,..\..\Submissions\gt4hist\00525479.txt,1055,1066,0.8246445498,gt4hist\00525479.txt,gt4hist,00525479.txt,0
..\..\groundtruth\00525480.txt,..\..\Submissions\gt4hist\00525480.txt,1671,1715,0.8354278875,gt4hist\00525480.txt,gt4hist,00525480.txt,0
..\..\groundtruth\00525481.txt,..\..\Submissions\gt4hist\00525481.txt,1644,1653,0.8582725061,gt4hist\00525481.txt,gt4hist,00525481.txt,0
..\..\groundtruth\00525482.txt,..\..\Submissions\gt4hist\00525482.txt,1478,1480,0.8930987821,gt4hist\00525482.txt,gt4hist,00525482.txt,0
..\..\groundtruth\00525483.txt,..\..\Submissions\gt4hist\00525483.txt,1629,1615,0.8453038674,gt4hist\00525483.txt,gt4hist,00525483.txt,0
..\..\groundtruth\00525484.txt,..\..\Submissions\gt4hist\00525484.txt,1618,1635,0.8850432633,gt4hist\00525484.txt,gt4hist,00525484.txt,0
..\..\groundtruth\00525485.txt,..\..\Submissions\gt4hist\00525485.txt,1592,1556,0.8335427136,gt4hist\00525485.txt,gt4hist,00525485.txt,0
..\..\groundtruth\00525486.txt,..\..\Submissions\gt4hist\00525486.txt,1595,1605,0.8620689655,gt4hist\00525486.txt,gt4hist,00525486.txt,0
..\..\groundtruth\00525487.txt,..\..\Submissions\gt4hist\00525487.txt,1555,1544,0.8167202572,gt4hist\00525487.txt,gt4hist,00525487.txt,0
..\..\groundtruth\00525488.txt,..\..\Submissions\gt4hist\00525488.txt,962,978,0.8731808732,gt4hist\00525488.txt,gt4hist,00525488.txt,0
..\..\groundtruth\00525489.txt,..\..\Submissions\gt4hist\00525489.txt,1265,1231,0.7786561265,gt4hist\00525489.txt,gt4hist,00525489.txt,0
..\..\groundtruth\00525490.txt,..\..\Submissions\gt4hist\00525490.txt,1716,1640,0.7727272727,gt4hist\00525490.txt,gt4hist,00525490.txt,0
..\..\groundtruth\00525491.txt,..\..\Submissions\gt4hist\00525491.txt,1654,1642,0.8125755744,gt4hist\00525491.txt,gt4hist,00525491.txt,0
..\..\groundtruth\00525492.txt,..\..\Submissions\gt4hist\00525492.txt,1716,1648,0.7878787879,gt4hist\00525492.txt,gt4hist,00525492.txt,0
..\..\groundtruth\00525493.txt,..\..\Submissions\gt4hist\00525493.txt,1662,1662,0.8471720818,gt4hist\00525493.txt,gt4hist,00525493.txt,0
..\..\groundtruth\00525494.txt,..\..\Submissions\gt4hist\00525494.txt,1649,1662,0.8574893875,gt4hist\00525494.txt,gt4hist,00525494.txt,0
..\..\groundtruth\00525495.txt,..\..\Submissions\gt4hist\00525495.txt,1710,1730,0.8093567251,gt4hist\00525495.txt,gt4hist,00525495.txt,0
..\..\groundtruth\00525496.txt,..\..\Submissions\gt4hist\00525496.txt,1680,1716,0.8589285714,gt4hist\00525496.txt,gt4hist,00525496.txt,0
..\..\groundtruth\00525497.txt,..\..\Submissions\gt4hist\00525497.txt,1638,1633,0.8455433455,gt4hist\00525497.txt,gt4hist,00525497.txt,0
..\..\groundtruth\00525498.txt,..\..\Submissions\gt4hist\00525498.txt,1586,1574,0.789407314,gt4hist\00525498.txt,gt4hist,00525498.txt,0
..\..\groundtruth\00525499.txt,..\..\Submissions\gt4hist\00525499.txt,1601,1650,0.8469706433,gt4hist\00525499.txt,gt4hist,00525499.txt,0
..\..\groundtruth\00525500.txt,..\..\Submissions\gt4hist\00525500.txt,1755,1792,0.8074074074,gt4hist\00525500.txt,gt4hist,00525500.txt,0
..\..\groundtruth\00525501.txt,..\..\Submissions\gt4hist\00525501.txt,1611,1543,0.7417752948,gt4hist\00525501.txt,gt4hist,00525501.txt,0
..\..\groundtruth\00525502.txt,..\..\Submissions\gt4hist\00525502.txt,1199,1206,0.8356964137,gt4hist\00525502.txt,gt4hist,00525502.txt,0
..\..\groundtruth\00525503.txt,..\..\Submissions\gt4hist\00525503.txt,760,775,0.7947368421,gt4hist\00525503.txt,gt4hist,00525503.txt,0
..\..\groundtruth\00539273.txt,..\..\Submissions\gt4hist\00539273.txt,668,720,0.7919161677,gt4hist\00539273.txt,gt4hist,00539273.txt,0
..\..\groundtruth\00539275.txt,..\..\Submissions\gt4hist\00539275.txt,830,848,0.8397590361,gt4hist\00539275.txt,gt4hist,00539275.txt,0
..\..\groundtruth\00539276.txt,..\..\Submissions\gt4hist\00539276.txt,1262,1295,0.8510301109,gt4hist\00539276.txt,gt4hist,00539276.txt,0
..\..\groundtruth\00539277.txt,..\..\Submissions\gt4hist\00539277.txt,1229,1261,0.8706265256,gt4hist\00539277.txt,gt4hist,00539277.txt,0
..\..\groundtruth\00539278.txt,..\..\Submissions\gt4hist\00539278.txt,1197,1225,0.8563074353,gt4hist\00539278.txt,gt4hist,00539278.txt,0
..\..\groundtruth\00539279.txt,..\..\Submissions\gt4hist\00539279.txt,1193,1226,0.8583403185,gt4hist\00539279.txt,gt4hist,00539279.txt,0
..\..\groundtruth\00539280.txt,..\..\Submissions\gt4hist\00539280.txt,1193,1224,0.8239731769,gt4hist\00539280.txt,gt4hist,00539280.txt,0
..\..\groundtruth\00539281.txt,..\..\Submissions\gt4hist\00539281.txt,1244,1278,0.8191318328,gt4hist\00539281.txt,gt4hist,00539281.txt,0
..\..\groundtruth\00539282.txt,..\..\Submissions\gt4hist\00539282.txt,1212,1234,0.8382838284,gt4hist\00539282.txt,gt4hist,00539282.txt,0
..\..\groundtruth\00539283.txt,..\..\Submissions\gt4hist\00539283.txt,1244,1248,0.8384244373,gt4hist\00539283.txt,gt4hist,00539283.txt,0
..\..\groundtruth\00539284.txt,..\..\Submissions\gt4hist\00539284.txt,1280,1306,0.83046875,gt4hist\00539284.txt,gt4hist,00539284.txt,0
..\..\groundtruth\00539285.txt,..\..\Submissions\gt4hist\00539285.txt,1272,1265,0.8545597484,gt4hist\00539285.txt,gt4hist,00539285.txt,0
..\..\groundtruth\00539286.txt,..\..\Submissions\gt4hist\00539286.txt,1281,1304,0.8899297424,gt4hist\00539286.txt,gt4hist,00539286.txt,0
..\..\groundtruth\00539287.txt,..\..\Submissions\gt4hist\00539287.txt,1175,1213,0.8757446809,gt4hist\00539287.txt,gt4hist,00539287.txt,0
..\..\groundtruth\00539288.txt,..\..\Submissions\gt4hist\00539288.txt,1292,1311,0.8715170279,gt4hist\00539288.txt,gt4hist,00539288.txt,0
..\..\groundtruth\00539289.txt,..\..\Submissions\gt4hist\00539289.txt,1284,1314,0.8870716511,gt4hist\00539289.txt,gt4hist,00539289.txt,0
..\..\groundtruth\00539290.txt,..\..\Submissions\gt4hist\00539290.txt,1286,1301,0.8926905132,gt4hist\00539290.txt,gt4hist,00539290.txt,0
..\..\groundtruth\00539291.txt,..\..\Submissions\gt4hist\00539291.txt,1286,1327,0.8779160187,gt4hist\00539291.txt,gt4hist,00539291.txt,0
..\..\groundtruth\00539292.txt,..\..\Submissions\gt4hist\00539292.txt,1319,1339,0.8938589841,gt4hist\00539292.txt,gt4hist,00539292.txt,0
..\..\groundtruth\00539293.txt,..\..\Submissions\gt4hist\00539293.txt,1234,1267,0.8938411669,gt4hist\00539293.txt,gt4hist,00539293.txt,0
..\..\groundtruth\00539294.txt,..\..\Submissions\gt4hist\00539294.txt,1266,1289,0.9115323855,gt4hist\00539294.txt,gt4hist,00539294.txt,0
..\..\groundtruth\00539295.txt,..\..\Submissions\gt4hist\00539295.txt,1222,1260,0.8821603928,gt4hist\00539295.txt,gt4hist,00539295.txt,0
..\..\groundtruth\00539296.txt,..\..\Submissions\gt4hist\00539296.txt,1104,1130,0.8523550725,gt4hist\00539296.txt,gt4hist,00539296.txt,0
..\..\groundtruth\00539297.txt,..\..\Submissions\gt4hist\00539297.txt,910,914,0.8010989011,gt4hist\00539297.txt,gt4hist,00539297.txt,0
..\..\groundtruth\00539298.txt,..\..\Submissions\gt4hist\00539298.txt,1035,1059,0.8608695652,gt4hist\00539298.txt,gt4hist,00539298.txt,0
..\..\groundtruth\00539299.txt,..\..\Submissions\gt4hist\00539299.txt,1048,1074,0.8358778626,gt4hist\00539299.txt,gt4hist,00539299.txt,0
..\..\groundtruth\00539300.txt,..\..\Submissions\gt4hist\00539300.txt,1123,1159,0.8646482636,gt4hist\00539300.txt,gt4hist,00539300.txt,0
..\..\groundtruth\00539301.txt,..\..\Submissions\gt4hist\00539301.txt,981,1016,0.8664627931,gt4hist\00539301.txt,gt4hist,00539301.txt,0
..\..\groundtruth\00539302.txt,..\..\Submissions\gt4hist\00539302.txt,1103,1124,0.8313689937,gt4hist\00539302.txt,gt4hist,00539302.txt,0
..\..\groundtruth\00539303.txt,..\..\Submissions\gt4hist\00539303.txt,1055,1081,0.8075829384,gt4hist\00539303.txt,gt4hist,00539303.txt,0
..\..\groundtruth\00539304.txt,..\..\Submissions\gt4hist\00539304.txt,984,1021,0.8536585366,gt4hist\00539304.txt,gt4hist,00539304.txt,0
