groundTruth,result,wordsInGroundTruth,wordsInResult,wordAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00451936.txt,..\..\Submissions\gt4hist\00451936.txt,229,221,0.5895196507,gt4hist\00451936.txt,gt4hist,00451936.txt,0
..\..\groundtruth\00451937.txt,..\..\Submissions\gt4hist\00451937.txt,284,273,0.7253521127,gt4hist\00451937.txt,gt4hist,00451937.txt,0
..\..\groundtruth\00451938.txt,..\..\Submissions\gt4hist\00451938.txt,262,258,0.7709923664,gt4hist\00451938.txt,gt4hist,00451938.txt,0
..\..\groundtruth\00451939.txt,..\..\Submissions\gt4hist\00451939.txt,270,262,0.7,gt4hist\00451939.txt,gt4hist,00451939.txt,0
..\..\groundtruth\00451940.txt,..\..\Submissions\gt4hist\00451940.txt,271,263,0.7638376384,gt4hist\00451940.txt,gt4hist,00451940.txt,0
..\..\groundtruth\00451941.txt,..\..\Submissions\gt4hist\00451941.txt,280,263,0.7035714286,gt4hist\00451941.txt,gt4hist,00451941.txt,0
..\..\groundtruth\00451942.txt,..\..\Submissions\gt4hist\00451942.txt,286,274,0.7237762238,gt4hist\00451942.txt,gt4hist,00451942.txt,0
..\..\groundtruth\00451943.txt,..\..\Submissions\gt4hist\00451943.txt,273,259,0.6336996337,gt4hist\00451943.txt,gt4hist,00451943.txt,0
..\..\groundtruth\00451944.txt,..\..\Submissions\gt4hist\00451944.txt,267,266,0.6779026217,gt4hist\00451944.txt,gt4hist,00451944.txt,0
..\..\groundtruth\00451945.txt,..\..\Submissions\gt4hist\00451945.txt,267,259,0.7228464419,gt4hist\00451945.txt,gt4hist,00451945.txt,0
..\..\groundtruth\00451946.txt,..\..\Submissions\gt4hist\00451946.txt,255,243,0.631372549,gt4hist\00451946.txt,gt4hist,00451946.txt,0
..\..\groundtruth\00451947.txt,..\..\Submissions\gt4hist\00451947.txt,240,229,0.6875,gt4hist\00451947.txt,gt4hist,00451947.txt,0
..\..\groundtruth\00451948.txt,..\..\Submissions\gt4hist\00451948.txt,212,205,0.5613207547,gt4hist\00451948.txt,gt4hist,00451948.txt,0
..\..\groundtruth\00451949.txt,..\..\Submissions\gt4hist\00451949.txt,264,259,0.6704545455,gt4hist\00451949.txt,gt4hist,00451949.txt,0
..\..\groundtruth\00451950.txt,..\..\Submissions\gt4hist\00451950.txt,270,267,0.6777777778,gt4hist\00451950.txt,gt4hist,00451950.txt,0
..\..\groundtruth\00451951.txt,..\..\Submissions\gt4hist\00451951.txt,280,278,0.2892857143,gt4hist\00451951.txt,gt4hist,00451951.txt,0
..\..\groundtruth\00451952.txt,..\..\Submissions\gt4hist\00451952.txt,271,269,0.7269372694,gt4hist\00451952.txt,gt4hist,00451952.txt,0
..\..\groundtruth\00451953.txt,..\..\Submissions\gt4hist\00451953.txt,256,246,0.70703125,gt4hist\00451953.txt,gt4hist,00451953.txt,0
..\..\groundtruth\00451954.txt,..\..\Submissions\gt4hist\00451954.txt,238,237,0.718487395,gt4hist\00451954.txt,gt4hist,00451954.txt,0
..\..\groundtruth\00451955.txt,..\..\Submissions\gt4hist\00451955.txt,267,258,0.6928838951,gt4hist\00451955.txt,gt4hist,00451955.txt,0
..\..\groundtruth\00451956.txt,..\..\Submissions\gt4hist\00451956.txt,278,262,0.6762589928,gt4hist\00451956.txt,gt4hist,00451956.txt,0
..\..\groundtruth\00451957.txt,..\..\Submissions\gt4hist\00451957.txt,262,259,0.7633587786,gt4hist\00451957.txt,gt4hist,00451957.txt,0
..\..\groundtruth\00451958.txt,..\..\Submissions\gt4hist\00451958.txt,252,249,0.7103174603,gt4hist\00451958.txt,gt4hist,00451958.txt,0
..\..\groundtruth\00451959.txt,..\..\Submissions\gt4hist\00451959.txt,273,266,0.6923076923,gt4hist\00451959.txt,gt4hist,00451959.txt,0
..\..\groundtruth\00451960.txt,..\..\Submissions\gt4hist\00451960.txt,267,267,0.7378277154,gt4hist\00451960.txt,gt4hist,00451960.txt,0
..\..\groundtruth\00451961.txt,..\..\Submissions\gt4hist\00451961.txt,207,202,0.7101449275,gt4hist\00451961.txt,gt4hist,00451961.txt,0
..\..\groundtruth\00451962.txt,..\..\Submissions\gt4hist\00451962.txt,276,260,0.6884057971,gt4hist\00451962.txt,gt4hist,00451962.txt,0
..\..\groundtruth\00451963.txt,..\..\Submissions\gt4hist\00451963.txt,264,252,0.7424242424,gt4hist\00451963.txt,gt4hist,00451963.txt,0
..\..\groundtruth\00451964.txt,..\..\Submissions\gt4hist\00451964.txt,263,251,0.6768060837,gt4hist\00451964.txt,gt4hist,00451964.txt,0
..\..\groundtruth\00451965.txt,..\..\Submissions\gt4hist\00451965.txt,277,262,0.6750902527,gt4hist\00451965.txt,gt4hist,00451965.txt,0
..\..\groundtruth\00451966.txt,..\..\Submissions\gt4hist\00451966.txt,286,281,0.7762237762,gt4hist\00451966.txt,gt4hist,00451966.txt,0
..\..\groundtruth\00451967.txt,..\..\Submissions\gt4hist\00451967.txt,291,272,0.6872852234,gt4hist\00451967.txt,gt4hist,00451967.txt,0
..\..\groundtruth\00525435.txt,..\..\Submissions\gt4hist\00525435.txt,234,228,0.2478632479,gt4hist\00525435.txt,gt4hist,00525435.txt,0
..\..\groundtruth\00525436.txt,..\..\Submissions\gt4hist\00525436.txt,283,278,0.7067137809,gt4hist\00525436.txt,gt4hist,00525436.txt,0
..\..\groundtruth\00525437.txt,..\..\Submissions\gt4hist\00525437.txt,295,278,0.5661016949,gt4hist\00525437.txt,gt4hist,00525437.txt,0
..\..\groundtruth\00525438.txt,..\..\Submissions\gt4hist\00525438.txt,176,172,0.5568181818,gt4hist\00525438.txt,gt4hist,00525438.txt,0
..\..\groundtruth\00525439.txt,..\..\Submissions\gt4hist\00525439.txt,207,200,0.5024154589,gt4hist\00525439.txt,gt4hist,00525439.txt,0
..\..\groundtruth\00525440.txt,..\..\Submissions\gt4hist\00525440.txt,61,65,0.5901639344,gt4hist\00525440.txt,gt4hist,00525440.txt,0
..\..\groundtruth\00525441.txt,..\..\Submissions\gt4hist\00525441.txt,139,140,0.4964028777,gt4hist\00525441.txt,gt4hist,00525441.txt,0
..\..\groundtruth\00525442.txt,..\..\Submissions\gt4hist\00525442.txt,312,306,0.5993589744,gt4hist\00525442.txt,gt4hist,00525442.txt,0
..\..\groundtruth\00525443.txt,..\..\Submissions\gt4hist\00525443.txt,308,296,0.6168831169,gt4hist\00525443.txt,gt4hist,00525443.txt,0
..\..\groundtruth\00525444.txt,..\..\Submissions\gt4hist\00525444.txt,295,283,0.6949152542,gt4hist\00525444.txt,gt4hist,00525444.txt,0
..\..\groundtruth\00525445.txt,..\..\Submissions\gt4hist\00525445.txt,259,249,0.6640926641,gt4hist\00525445.txt,gt4hist,00525445.txt,0
..\..\groundtruth\00525446.txt,..\..\Submissions\gt4hist\00525446.txt,281,272,0.6975088968,gt4hist\00525446.txt,gt4hist,00525446.txt,0
..\..\groundtruth\00525447.txt,..\..\Submissions\gt4hist\00525447.txt,304,293,0.7203947368,gt4hist\00525447.txt,gt4hist,00525447.txt,0
..\..\groundtruth\00525448.txt,..\..\Submissions\gt4hist\00525448.txt,287,264,0.5087108014,gt4hist\00525448.txt,gt4hist,00525448.txt,0
..\..\groundtruth\00525449.txt,..\..\Submissions\gt4hist\00525449.txt,288,275,0.6840277778,gt4hist\00525449.txt,gt4hist,00525449.txt,0
..\..\groundtruth\00525450.txt,..\..\Submissions\gt4hist\00525450.txt,279,265,0.6093189964,gt4hist\00525450.txt,gt4hist,00525450.txt,0
..\..\groundtruth\00525451.txt,..\..\Submissions\gt4hist\00525451.txt,270,272,0.6740740741,gt4hist\00525451.txt,gt4hist,00525451.txt,0
..\..\groundtruth\00525452.txt,..\..\Submissions\gt4hist\00525452.txt,300,292,0.7066666667,gt4hist\00525452.txt,gt4hist,00525452.txt,0
..\..\groundtruth\00525453.txt,..\..\Submissions\gt4hist\00525453.txt,330,326,0.6848484848,gt4hist\00525453.txt,gt4hist,00525453.txt,0
..\..\groundtruth\00525454.txt,..\..\Submissions\gt4hist\00525454.txt,283,279,0.6572438163,gt4hist\00525454.txt,gt4hist,00525454.txt,0
..\..\groundtruth\00525455.txt,..\..\Submissions\gt4hist\00525455.txt,296,277,0.5506756757,gt4hist\00525455.txt,gt4hist,00525455.txt,0
..\..\groundtruth\00525456.txt,..\..\Submissions\gt4hist\00525456.txt,293,285,0.4539249147,gt4hist\00525456.txt,gt4hist,00525456.txt,0
..\..\groundtruth\00525457.txt,..\..\Submissions\gt4hist\00525457.txt,309,307,0.501618123,gt4hist\00525457.txt,gt4hist,00525457.txt,0
..\..\groundtruth\00525458.txt,..\..\Submissions\gt4hist\00525458.txt,279,246,0.1290322581,gt4hist\00525458.txt,gt4hist,00525458.txt,0
..\..\groundtruth\00525459.txt,..\..\Submissions\gt4hist\00525459.txt,281,286,0.5338078292,gt4hist\00525459.txt,gt4hist,00525459.txt,0
..\..\groundtruth\00525460.txt,..\..\Submissions\gt4hist\00525460.txt,306,292,0.1503267974,gt4hist\00525460.txt,gt4hist,00525460.txt,0
..\..\groundtruth\00525461.txt,..\..\Submissions\gt4hist\00525461.txt,302,270,0.2682119205,gt4hist\00525461.txt,gt4hist,00525461.txt,0
..\..\groundtruth\00525462.txt,..\..\Submissions\gt4hist\00525462.txt,307,303,0.6058631922,gt4hist\00525462.txt,gt4hist,00525462.txt,0
..\..\groundtruth\00525463.txt,..\..\Submissions\gt4hist\00525463.txt,321,310,0.4859813084,gt4hist\00525463.txt,gt4hist,00525463.txt,0
..\..\groundtruth\00525464.txt,..\..\Submissions\gt4hist\00525464.txt,312,318,0.6570512821,gt4hist\00525464.txt,gt4hist,00525464.txt,0
..\..\groundtruth\00525465.txt,..\..\Submissions\gt4hist\00525465.txt,299,308,0.6086956522,gt4hist\00525465.txt,gt4hist,00525465.txt,0
..\..\groundtruth\00525466.txt,..\..\Submissions\gt4hist\00525466.txt,316,281,0.4208860759,gt4hist\00525466.txt,gt4hist,00525466.txt,0
..\..\groundtruth\00525467.txt,..\..\Submissions\gt4hist\00525467.txt,312,277,0.2307692308,gt4hist\00525467.txt,gt4hist,00525467.txt,0
..\..\groundtruth\00525468.txt,..\..\Submissions\gt4hist\00525468.txt,315,281,0.5079365079,gt4hist\00525468.txt,gt4hist,00525468.txt,0
..\..\groundtruth\00525469.txt,..\..\Submissions\gt4hist\00525469.txt,320,310,0.5125,gt4hist\00525469.txt,gt4hist,00525469.txt,0
..\..\groundtruth\00525470.txt,..\..\Submissions\gt4hist\00525470.txt,277,268,0.5451263538,gt4hist\00525470.txt,gt4hist,00525470.txt,0
..\..\groundtruth\00525471.txt,..\..\Submissions\gt4hist\00525471.txt,300,289,0.56,gt4hist\00525471.txt,gt4hist,00525471.txt,0
..\..\groundtruth\00525472.txt,..\..\Submissions\gt4hist\00525472.txt,242,225,0.4297520661,gt4hist\00525472.txt,gt4hist,00525472.txt,0
..\..\groundtruth\00525473.txt,..\..\Submissions\gt4hist\00525473.txt,233,224,0.5450643777,gt4hist\00525473.txt,gt4hist,00525473.txt,0
..\..\groundtruth\00525474.txt,..\..\Submissions\gt4hist\00525474.txt,325,309,0.4861538462,gt4hist\00525474.txt,gt4hist,00525474.txt,0
..\..\groundtruth\00525475.txt,..\..\Submissions\gt4hist\00525475.txt,294,288,0.5680272109,gt4hist\00525475.txt,gt4hist,00525475.txt,0
..\..\groundtruth\00525476.txt,..\..\Submissions\gt4hist\00525476.txt,290,286,0.6724137931,gt4hist\00525476.txt,gt4hist,00525476.txt,0
..\..\groundtruth\00525477.txt,..\..\Submissions\gt4hist\00525477.txt,286,276,0.6433566434,gt4hist\00525477.txt,gt4hist,00525477.txt,0
..\..\groundtruth\00525478.txt,..\..\Submissions\gt4hist\00525478.txt,313,305,0.5399361022,gt4hist\00525478.txt,gt4hist,00525478.txt,0
..\..\groundtruth\00525479.txt,..\..\Submissions\gt4hist\00525479.txt,207,207,0.4637681159,gt4hist\00525479.txt,gt4hist,00525479.txt,0
..\..\groundtruth\00525480.txt,..\..\Submissions\gt4hist\00525480.txt,324,315,0.5030864198,gt4hist\00525480.txt,gt4hist,00525480.txt,0
..\..\groundtruth\00525481.txt,..\..\Submissions\gt4hist\00525481.txt,324,300,0.5061728395,gt4hist\00525481.txt,gt4hist,00525481.txt,0
..\..\groundtruth\00525482.txt,..\..\Submissions\gt4hist\00525482.txt,290,277,0.7068965517,gt4hist\00525482.txt,gt4hist,00525482.txt,0
..\..\groundtruth\00525483.txt,..\..\Submissions\gt4hist\00525483.txt,327,309,0.5535168196,gt4hist\00525483.txt,gt4hist,00525483.txt,0
..\..\groundtruth\00525484.txt,..\..\Submissions\gt4hist\00525484.txt,317,303,0.61829653,gt4hist\00525484.txt,gt4hist,00525484.txt,0
..\..\groundtruth\00525485.txt,..\..\Submissions\gt4hist\00525485.txt,318,290,0.5597484277,gt4hist\00525485.txt,gt4hist,00525485.txt,0
..\..\groundtruth\00525486.txt,..\..\Submissions\gt4hist\00525486.txt,312,298,0.625,gt4hist\00525486.txt,gt4hist,00525486.txt,0
..\..\groundtruth\00525487.txt,..\..\Submissions\gt4hist\00525487.txt,310,294,0.5225806452,gt4hist\00525487.txt,gt4hist,00525487.txt,0
..\..\groundtruth\00525488.txt,..\..\Submissions\gt4hist\00525488.txt,196,186,0.5510204082,gt4hist\00525488.txt,gt4hist,00525488.txt,0
..\..\groundtruth\00525489.txt,..\..\Submissions\gt4hist\00525489.txt,259,238,0.3243243243,gt4hist\00525489.txt,gt4hist,00525489.txt,0
..\..\groundtruth\00525490.txt,..\..\Submissions\gt4hist\00525490.txt,339,300,0.4159292035,gt4hist\00525490.txt,gt4hist,00525490.txt,0
..\..\groundtruth\00525491.txt,..\..\Submissions\gt4hist\00525491.txt,333,315,0.4924924925,gt4hist\00525491.txt,gt4hist,00525491.txt,0
..\..\groundtruth\00525492.txt,..\..\Submissions\gt4hist\00525492.txt,348,318,0.5114942529,gt4hist\00525492.txt,gt4hist,00525492.txt,0
..\..\groundtruth\00525493.txt,..\..\Submissions\gt4hist\00525493.txt,320,299,0.509375,gt4hist\00525493.txt,gt4hist,00525493.txt,0
..\..\groundtruth\00525494.txt,..\..\Submissions\gt4hist\00525494.txt,325,312,0.5723076923,gt4hist\00525494.txt,gt4hist,00525494.txt,0
..\..\groundtruth\00525495.txt,..\..\Submissions\gt4hist\00525495.txt,338,339,0.4585798817,gt4hist\00525495.txt,gt4hist,00525495.txt,0
..\..\groundtruth\00525496.txt,..\..\Submissions\gt4hist\00525496.txt,347,335,0.507204611,gt4hist\00525496.txt,gt4hist,00525496.txt,0
..\..\groundtruth\00525497.txt,..\..\Submissions\gt4hist\00525497.txt,333,315,0.5675675676,gt4hist\00525497.txt,gt4hist,00525497.txt,0
..\..\groundtruth\00525498.txt,..\..\Submissions\gt4hist\00525498.txt,326,304,0.463190184,gt4hist\00525498.txt,gt4hist,00525498.txt,0
..\..\groundtruth\00525499.txt,..\..\Submissions\gt4hist\00525499.txt,324,311,0.5154320988,gt4hist\00525499.txt,gt4hist,00525499.txt,0
..\..\groundtruth\00525500.txt,..\..\Submissions\gt4hist\00525500.txt,367,349,0.3651226158,gt4hist\00525500.txt,gt4hist,00525500.txt,0
..\..\groundtruth\00525501.txt,..\..\Submissions\gt4hist\00525501.txt,326,298,0.4079754601,gt4hist\00525501.txt,gt4hist,00525501.txt,0
..\..\groundtruth\00525502.txt,..\..\Submissions\gt4hist\00525502.txt,221,204,0.5384615385,gt4hist\00525502.txt,gt4hist,00525502.txt,0
..\..\groundtruth\00525503.txt,..\..\Submissions\gt4hist\00525503.txt,143,140,0.4265734266,gt4hist\00525503.txt,gt4hist,00525503.txt,0
..\..\groundtruth\00539273.txt,..\..\Submissions\gt4hist\00539273.txt,120,129,0.475,gt4hist\00539273.txt,gt4hist,00539273.txt,0
..\..\groundtruth\00539275.txt,..\..\Submissions\gt4hist\00539275.txt,151,154,0.02649006623,gt4hist\00539275.txt,gt4hist,00539275.txt,0
..\..\groundtruth\00539276.txt,..\..\Submissions\gt4hist\00539276.txt,231,233,0.5454545455,gt4hist\00539276.txt,gt4hist,00539276.txt,0
..\..\groundtruth\00539277.txt,..\..\Submissions\gt4hist\00539277.txt,223,224,0.6233183857,gt4hist\00539277.txt,gt4hist,00539277.txt,0
..\..\groundtruth\00539278.txt,..\..\Submissions\gt4hist\00539278.txt,211,211,0.336492891,gt4hist\00539278.txt,gt4hist,00539278.txt,0
..\..\groundtruth\00539279.txt,..\..\Submissions\gt4hist\00539279.txt,214,221,0.546728972,gt4hist\00539279.txt,gt4hist,00539279.txt,0
..\..\groundtruth\00539280.txt,..\..\Submissions\gt4hist\00539280.txt,215,218,0.4744186047,gt4hist\00539280.txt,gt4hist,00539280.txt,0
..\..\groundtruth\00539281.txt,..\..\Submissions\gt4hist\00539281.txt,234,231,0.5085470085,gt4hist\00539281.txt,gt4hist,00539281.txt,0
..\..\groundtruth\00539282.txt,..\..\Submissions\gt4hist\00539282.txt,218,220,0.5229357798,gt4hist\00539282.txt,gt4hist,00539282.txt,0
..\..\groundtruth\00539283.txt,..\..\Submissions\gt4hist\00539283.txt,214,207,0.5560747664,gt4hist\00539283.txt,gt4hist,00539283.txt,0
..\..\groundtruth\00539284.txt,..\..\Submissions\gt4hist\00539284.txt,226,221,0.5221238938,gt4hist\00539284.txt,gt4hist,00539284.txt,0
..\..\groundtruth\00539285.txt,..\..\Submissions\gt4hist\00539285.txt,221,221,0.5837104072,gt4hist\00539285.txt,gt4hist,00539285.txt,0
..\..\groundtruth\00539286.txt,..\..\Submissions\gt4hist\00539286.txt,224,226,0.6607142857,gt4hist\00539286.txt,gt4hist,00539286.txt,0
..\..\groundtruth\00539287.txt,..\..\Submissions\gt4hist\00539287.txt,207,207,0.5748792271,gt4hist\00539287.txt,gt4hist,00539287.txt,0
..\..\groundtruth\00539288.txt,..\..\Submissions\gt4hist\00539288.txt,226,225,0.6017699115,gt4hist\00539288.txt,gt4hist,00539288.txt,0
..\..\groundtruth\00539289.txt,..\..\Submissions\gt4hist\00539289.txt,215,218,0.623255814,gt4hist\00539289.txt,gt4hist,00539289.txt,0
..\..\groundtruth\00539290.txt,..\..\Submissions\gt4hist\00539290.txt,229,224,0.6768558952,gt4hist\00539290.txt,gt4hist,00539290.txt,0
..\..\groundtruth\00539291.txt,..\..\Submissions\gt4hist\00539291.txt,235,237,0.6553191489,gt4hist\00539291.txt,gt4hist,00539291.txt,0
..\..\groundtruth\00539292.txt,..\..\Submissions\gt4hist\00539292.txt,222,221,0.6486486486,gt4hist\00539292.txt,gt4hist,00539292.txt,0
..\..\groundtruth\00539293.txt,..\..\Submissions\gt4hist\00539293.txt,220,221,0.7,gt4hist\00539293.txt,gt4hist,00539293.txt,0
..\..\groundtruth\00539294.txt,..\..\Submissions\gt4hist\00539294.txt,220,221,0.7181818182,gt4hist\00539294.txt,gt4hist,00539294.txt,0
..\..\groundtruth\00539295.txt,..\..\Submissions\gt4hist\00539295.txt,221,219,0.6108597285,gt4hist\00539295.txt,gt4hist,00539295.txt,0
..\..\groundtruth\00539296.txt,..\..\Submissions\gt4hist\00539296.txt,212,214,0.5566037736,gt4hist\00539296.txt,gt4hist,00539296.txt,0
..\..\groundtruth\00539297.txt,..\..\Submissions\gt4hist\00539297.txt,165,163,0.4606060606,gt4hist\00539297.txt,gt4hist,00539297.txt,0
..\..\groundtruth\00539298.txt,..\..\Submissions\gt4hist\00539298.txt,184,187,0.5815217391,gt4hist\00539298.txt,gt4hist,00539298.txt,0
..\..\groundtruth\00539299.txt,..\..\Submissions\gt4hist\00539299.txt,196,192,0.5765306122,gt4hist\00539299.txt,gt4hist,00539299.txt,0
..\..\groundtruth\00539300.txt,..\..\Submissions\gt4hist\00539300.txt,206,211,0.5970873786,gt4hist\00539300.txt,gt4hist,00539300.txt,0
..\..\groundtruth\00539301.txt,..\..\Submissions\gt4hist\00539301.txt,175,179,0.5942857143,gt4hist\00539301.txt,gt4hist,00539301.txt,0
..\..\groundtruth\00539302.txt,..\..\Submissions\gt4hist\00539302.txt,188,189,0.5478723404,gt4hist\00539302.txt,gt4hist,00539302.txt,0
..\..\groundtruth\00539303.txt,..\..\Submissions\gt4hist\00539303.txt,192,202,0.5520833333,gt4hist\00539303.txt,gt4hist,00539303.txt,0
..\..\groundtruth\00539304.txt,..\..\Submissions\gt4hist\00539304.txt,178,178,0.5,gt4hist\00539304.txt,gt4hist,00539304.txt,0
..\..\groundtruth\00539305.txt,..\..\Submissions\gt4hist\00539305.txt,166,177,0.4879518072,gt4hist\00539305.txt,gt4hist,00539305.txt,0
..\..\groundtruth\00539306.txt,..\..\Submissions\gt4hist\00539306.txt,161,166,0.5031055901,gt4hist\00539306.txt,gt4hist,00539306.txt,0
..\..\groundtruth\00539307.txt,..\..\Submissions\gt4hist\00539307.txt,217,217,0.4884792627,gt4hist\00539307.txt,gt4hist,00539307.txt,0
..\..\groundtruth\00539308.txt,..\..\Submissions\gt4hist\00539308.txt,215,215,0.5069767442,gt4hist\00539308.txt,gt4hist,00539308.txt,0
..\..\groundtruth\00539309.txt,..\..\Submissions\gt4hist\00539309.txt,213,222,0.4835680751,gt4hist\00539309.txt,gt4hist,00539309.txt,0
..\..\groundtruth\00539310.txt,..\..\Submissions\gt4hist\00539310.txt,47,48,0.5106382979,gt4hist\00539310.txt,gt4hist,00539310.txt,0
..\..\groundtruth\00539311.txt,..\..\Submissions\gt4hist\00539311.txt,138,140,0.6956521739,gt4hist\00539311.txt,gt4hist,00539311.txt,0
..\..\groundtruth\00539312.txt,..\..\Submissions\gt4hist\00539312.txt,287,274,0.6341463415,gt4hist\00539312.txt,gt4hist,00539312.txt,0
..\..\groundtruth\00539313.txt,..\..\Submissions\gt4hist\00539313.txt,282,269,0.7304964539,gt4hist\00539313.txt,gt4hist,00539313.txt,0
..\..\groundtruth\00539314.txt,..\..\Submissions\gt4hist\00539314.txt,285,282,0.7929824561,gt4hist\00539314.txt,gt4hist,00539314.txt,0
..\..\groundtruth\00539315.txt,..\..\Submissions\gt4hist\00539315.txt,297,296,0.7946127946,gt4hist\00539315.txt,gt4hist,00539315.txt,0
..\..\groundtruth\00539316.txt,..\..\Submissions\gt4hist\00539316.txt,283,284,0.7491166078,gt4hist\00539316.txt,gt4hist,00539316.txt,0
..\..\groundtruth\00539317.txt,..\..\Submissions\gt4hist\00539317.txt,279,278,0.7670250896,gt4hist\00539317.txt,gt4hist,00539317.txt,0
..\..\groundtruth\00539318.txt,..\..\Submissions\gt4hist\00539318.txt,270,276,0.8185185185,gt4hist\00539318.txt,gt4hist,00539318.txt,0
..\..\groundtruth\00539319.txt,..\..\Submissions\gt4hist\00539319.txt,288,289,0.7708333333,gt4hist\00539319.txt,gt4hist,00539319.txt,0
..\..\groundtruth\00539320.txt,..\..\Submissions\gt4hist\00539320.txt,237,244,0.3417721519,gt4hist\00539320.txt,gt4hist,00539320.txt,0
..\..\groundtruth\00539321.txt,..\..\Submissions\gt4hist\00539321.txt,294,279,0.7278911565,gt4hist\00539321.txt,gt4hist,00539321.txt,0
..\..\groundtruth\00539322.txt,..\..\Submissions\gt4hist\00539322.txt,298,303,0.6711409396,gt4hist\00539322.txt,gt4hist,00539322.txt,0
..\..\groundtruth\00539323.txt,..\..\Submissions\gt4hist\00539323.txt,262,259,0.6603053435,gt4hist\00539323.txt,gt4hist,00539323.txt,0
..\..\groundtruth\00539324.txt,..\..\Submissions\gt4hist\00539324.txt,262,268,0.6832061069,gt4hist\00539324.txt,gt4hist,00539324.txt,0
..\..\groundtruth\00539325.txt,..\..\Submissions\gt4hist\00539325.txt,282,276,0.5496453901,gt4hist\00539325.txt,gt4hist,00539325.txt,0
..\..\groundtruth\00539326.txt,..\..\Submissions\gt4hist\00539326.txt,288,286,0.7534722222,gt4hist\00539326.txt,gt4hist,00539326.txt,0
..\..\groundtruth\00539327.txt,..\..\Submissions\gt4hist\00539327.txt,269,269,0.843866171,gt4hist\00539327.txt,gt4hist,00539327.txt,0
..\..\groundtruth\00539328.txt,..\..\Submissions\gt4hist\00539328.txt,261,264,0.8122605364,gt4hist\00539328.txt,gt4hist,00539328.txt,0
..\..\groundtruth\00539329.txt,..\..\Submissions\gt4hist\00539329.txt,268,266,0.7574626866,gt4hist\00539329.txt,gt4hist,00539329.txt,0
..\..\groundtruth\00539330.txt,..\..\Submissions\gt4hist\00539330.txt,277,277,0.6967509025,gt4hist\00539330.txt,gt4hist,00539330.txt,0
..\..\groundtruth\00539331.txt,..\..\Submissions\gt4hist\00539331.txt,294,273,0.7210884354,gt4hist\00539331.txt,gt4hist,00539331.txt,0
..\..\groundtruth\00539332.txt,..\..\Submissions\gt4hist\00539332.txt,278,251,0.6366906475,gt4hist\00539332.txt,gt4hist,00539332.txt,0
..\..\groundtruth\00539333.txt,..\..\Submissions\gt4hist\00539333.txt,264,257,0.5871212121,gt4hist\00539333.txt,gt4hist,00539333.txt,0
..\..\groundtruth\00539334.txt,..\..\Submissions\gt4hist\00539334.txt,277,256,0.7075812274,gt4hist\00539334.txt,gt4hist,00539334.txt,0
..\..\groundtruth\00539335.txt,..\..\Submissions\gt4hist\00539335.txt,253,246,0.7351778656,gt4hist\00539335.txt,gt4hist,00539335.txt,0
..\..\groundtruth\00539336.txt,..\..\Submissions\gt4hist\00539336.txt,276,279,0.6195652174,gt4hist\00539336.txt,gt4hist,00539336.txt,0
..\..\groundtruth\00539337.txt,..\..\Submissions\gt4hist\00539337.txt,277,273,0.6678700361,gt4hist\00539337.txt,gt4hist,00539337.txt,0
..\..\groundtruth\00539338.txt,..\..\Submissions\gt4hist\00539338.txt,267,267,0.797752809,gt4hist\00539338.txt,gt4hist,00539338.txt,0
..\..\groundtruth\00539339.txt,..\..\Submissions\gt4hist\00539339.txt,290,268,0.7,gt4hist\00539339.txt,gt4hist,00539339.txt,0
..\..\groundtruth\00539340.txt,..\..\Submissions\gt4hist\00539340.txt,294,300,0.612244898,gt4hist\00539340.txt,gt4hist,00539340.txt,0
..\..\groundtruth\00539341.txt,..\..\Submissions\gt4hist\00539341.txt,310,276,0.5548387097,gt4hist\00539341.txt,gt4hist,00539341.txt,0
..\..\groundtruth\00539342.txt,..\..\Submissions\gt4hist\00539342.txt,261,260,0.8084291188,gt4hist\00539342.txt,gt4hist,00539342.txt,0
..\..\groundtruth\00539343.txt,..\..\Submissions\gt4hist\00539343.txt,291,278,0.439862543,gt4hist\00539343.txt,gt4hist,00539343.txt,0
..\..\groundtruth\00539344.txt,..\..\Submissions\gt4hist\00539344.txt,297,273,0.4814814815,gt4hist\00539344.txt,gt4hist,00539344.txt,0
..\..\groundtruth\00539345.txt,..\..\Submissions\gt4hist\00539345.txt,284,273,0.6725352113,gt4hist\00539345.txt,gt4hist,00539345.txt,0
..\..\groundtruth\00539346.txt,..\..\Submissions\gt4hist\00539346.txt,268,270,0.7537313433,gt4hist\00539346.txt,gt4hist,00539346.txt,0
..\..\groundtruth\00539347.txt,..\..\Submissions\gt4hist\00539347.txt,280,277,0.6714285714,gt4hist\00539347.txt,gt4hist,00539347.txt,0
..\..\groundtruth\00539348.txt,..\..\Submissions\gt4hist\00539348.txt,256,255,0.66796875,gt4hist\00539348.txt,gt4hist,00539348.txt,0
..\..\groundtruth\00539349.txt,..\..\Submissions\gt4hist\00539349.txt,267,257,0.606741573,gt4hist\00539349.txt,gt4hist,00539349.txt,0
..\..\groundtruth\00539350.txt,..\..\Submissions\gt4hist\00539350.txt,266,270,0.5526315789,gt4hist\00539350.txt,gt4hist,00539350.txt,0
..\..\groundtruth\00539351.txt,..\..\Submissions\gt4hist\00539351.txt,276,262,0.6050724638,gt4hist\00539351.txt,gt4hist,00539351.txt,0
