groundTruth,result,wordsInGroundTruth,wordsInResult,wordAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046920.txt,..\..\Submissions\gt4hist\00046920.txt,162,165,0.6049382716,gt4hist\00046920.txt,gt4hist,00046920.txt,0
..\..\groundtruth\00046921.txt,..\..\Submissions\gt4hist\00046921.txt,159,153,0.4905660377,gt4hist\00046921.txt,gt4hist,00046921.txt,0
..\..\groundtruth\00046922.txt,..\..\Submissions\gt4hist\00046922.txt,167,179,0.08982035928,gt4hist\00046922.txt,gt4hist,00046922.txt,0
..\..\groundtruth\00046923.txt,..\..\Submissions\gt4hist\00046923.txt,160,162,0.475,gt4hist\00046923.txt,gt4hist,00046923.txt,0
..\..\groundtruth\00046924.txt,..\..\Submissions\gt4hist\00046924.txt,124,125,0.4919354839,gt4hist\00046924.txt,gt4hist,00046924.txt,0
..\..\groundtruth\00046925.txt,..\..\Submissions\gt4hist\00046925.txt,163,157,0.1288343558,gt4hist\00046925.txt,gt4hist,00046925.txt,0
..\..\groundtruth\00046926.txt,..\..\Submissions\gt4hist\00046926.txt,163,168,0.01840490798,gt4hist\00046926.txt,gt4hist,00046926.txt,0
..\..\groundtruth\00046927.txt,..\..\Submissions\gt4hist\00046927.txt,171,171,0.5789473684,gt4hist\00046927.txt,gt4hist,00046927.txt,0
..\..\groundtruth\00046928.txt,..\..\Submissions\gt4hist\00046928.txt,105,105,0.1142857143,gt4hist\00046928.txt,gt4hist,00046928.txt,0
..\..\groundtruth\00046929.txt,..\..\Submissions\gt4hist\00046929.txt,181,178,0.6850828729,gt4hist\00046929.txt,gt4hist,00046929.txt,0
..\..\groundtruth\00046930.txt,..\..\Submissions\gt4hist\00046930.txt,160,158,0.68125,gt4hist\00046930.txt,gt4hist,00046930.txt,0
..\..\groundtruth\00046931.txt,..\..\Submissions\gt4hist\00046931.txt,175,178,0.6628571429,gt4hist\00046931.txt,gt4hist,00046931.txt,0
..\..\groundtruth\00046932.txt,..\..\Submissions\gt4hist\00046932.txt,151,151,0.6622516556,gt4hist\00046932.txt,gt4hist,00046932.txt,0
..\..\groundtruth\00046933.txt,..\..\Submissions\gt4hist\00046933.txt,140,136,0.2,gt4hist\00046933.txt,gt4hist,00046933.txt,0
..\..\groundtruth\00046934.txt,..\..\Submissions\gt4hist\00046934.txt,179,191,0.5363128492,gt4hist\00046934.txt,gt4hist,00046934.txt,0
..\..\groundtruth\00046935.txt,..\..\Submissions\gt4hist\00046935.txt,151,146,0.07284768212,gt4hist\00046935.txt,gt4hist,00046935.txt,0
..\..\groundtruth\00046936.txt,..\..\Submissions\gt4hist\00046936.txt,156,148,0.5897435897,gt4hist\00046936.txt,gt4hist,00046936.txt,0
..\..\groundtruth\00046937.txt,..\..\Submissions\gt4hist\00046937.txt,161,159,0.6086956522,gt4hist\00046937.txt,gt4hist,00046937.txt,0
..\..\groundtruth\00046938.txt,..\..\Submissions\gt4hist\00046938.txt,194,193,0.6391752577,gt4hist\00046938.txt,gt4hist,00046938.txt,0
..\..\groundtruth\00046939.txt,..\..\Submissions\gt4hist\00046939.txt,180,172,0.6333333333,gt4hist\00046939.txt,gt4hist,00046939.txt,0
..\..\groundtruth\00046940.txt,..\..\Submissions\gt4hist\00046940.txt,200,189,0.095,gt4hist\00046940.txt,gt4hist,00046940.txt,0
..\..\groundtruth\00046941.txt,..\..\Submissions\gt4hist\00046941.txt,173,176,0.3352601156,gt4hist\00046941.txt,gt4hist,00046941.txt,0
..\..\groundtruth\00046942.txt,..\..\Submissions\gt4hist\00046942.txt,119,110,0.4957983193,gt4hist\00046942.txt,gt4hist,00046942.txt,0
..\..\groundtruth\00046943.txt,..\..\Submissions\gt4hist\00046943.txt,116,110,0.4310344828,gt4hist\00046943.txt,gt4hist,00046943.txt,0
..\..\groundtruth\00046944.txt,..\..\Submissions\gt4hist\00046944.txt,171,163,0.5789473684,gt4hist\00046944.txt,gt4hist,00046944.txt,0
