groundTruth,result,wordIndexMissErrorRate,wordIndexFalseDetectionErrorRate,wordIndexSuccessRate,numberOfUniqueWordsInGroundTruth,numberOfUniqueWordsInResult,wordCountMissErrorRate,wordCountFalseDetectionErrorRate,wordCountSuccessRate,wordCountPrecision,wordCountRecall,wordCountFMeasure,numberOfWordsInGroundTruth,numberOfWordsInResult,Method and file,Method,File,Decorations
..\..\groundtruth\00046950.txt,..\..\Submissions\gt4hist\00046950.txt,0.344,0.3492063492,0.6533864542,125,126,0.3492631579,0.3315508021,0.6594741105,0.6684491979,0.6578947368,0.6631299735,190,187,gt4hist\00046950.txt,gt4hist,00046950.txt,0
..\..\groundtruth\00046951.txt,..\..\Submissions\gt4hist\00046951.txt,0.4661654135,0.4740740741,0.5298507463,133,135,0.4883040936,0.4131736527,0.5466919558,0.5868263473,0.5414364641,0.5632183908,181,167,gt4hist\00046951.txt,gt4hist,00046951.txt,0
..\..\groundtruth\00046952.txt,..\..\Submissions\gt4hist\00046952.txt,0.4918032787,0.4876033058,0.5102880658,122,121,0.4943253468,0.4577464789,0.5233256782,0.5422535211,0.5273972603,0.5347222222,146,142,gt4hist\00046952.txt,gt4hist,00046952.txt,0
..\..\groundtruth\00046953.txt,..\..\Submissions\gt4hist\00046953.txt,0.3786407767,0.4018691589,0.6095238095,103,107,0.3969170499,0.3197278912,0.6393562053,0.6802721088,0.6451612903,0.6622516556,155,147,gt4hist\00046953.txt,gt4hist,00046953.txt,0
..\..\groundtruth\00046954.txt,..\..\Submissions\gt4hist\00046954.txt,0.4375,0.4330708661,0.5647058824,128,127,0.4388020833,0.3522727273,0.6013659062,0.6477272727,0.6404494382,0.6440677966,178,176,gt4hist\00046954.txt,gt4hist,00046954.txt,0
..\..\groundtruth\00046955.txt,..\..\Submissions\gt4hist\00046955.txt,0.3951612903,0.3902439024,0.6072874494,124,123,0.3955278592,0.3068181818,0.6457948125,0.6931818182,0.6853932584,0.6892655367,178,176,gt4hist\00046955.txt,gt4hist,00046955.txt,0
..\..\groundtruth\00046956.txt,..\..\Submissions\gt4hist\00046956.txt,0.3196721311,0.336,0.6720647773,122,125,0.3301043219,0.32,0.6749100223,0.68,0.6666666667,0.6732673267,153,150,gt4hist\00046956.txt,gt4hist,00046956.txt,0
..\..\groundtruth\00046957.txt,..\..\Submissions\gt4hist\00046957.txt,0.4146341463,0.424,0.5806451613,123,125,0.4268292683,0.3218390805,0.621261342,0.6781609195,0.6704545455,0.6742857143,176,174,gt4hist\00046957.txt,gt4hist,00046957.txt,0
..\..\groundtruth\00046958.txt,..\..\Submissions\gt4hist\00046958.txt,0.3963963964,0.4017857143,0.600896861,111,112,0.4054054054,0.3270440252,0.6313530911,0.6729559748,0.6948051948,0.6837060703,154,159,gt4hist\00046958.txt,gt4hist,00046958.txt,0
..\..\groundtruth\00046959.txt,..\..\Submissions\gt4hist\00046959.txt,0.304,0.3255813953,0.6850393701,125,129,0.3189333333,0.2631578947,0.7078573832,0.7368421053,0.7368421053,0.7368421053,171,171,gt4hist\00046959.txt,gt4hist,00046959.txt,0
..\..\groundtruth\00046960.txt,..\..\Submissions\gt4hist\00046960.txt,0.4553571429,0.4454545455,0.5495495495,112,110,0.4553571429,0.3509933775,0.5922623471,0.6490066225,0.6405228758,0.6447368421,153,151,gt4hist\00046960.txt,gt4hist,00046960.txt,0
..\..\groundtruth\00046961.txt,..\..\Submissions\gt4hist\00046961.txt,0.3277310924,0.3388429752,0.6666666667,119,121,0.3284950344,0.2528735632,0.7073001646,0.7471264368,0.7428571429,0.7449856734,175,174,gt4hist\00046961.txt,gt4hist,00046961.txt,0
..\..\groundtruth\00046962.txt,..\..\Submissions\gt4hist\00046962.txt,0.392,0.3968253968,0.6055776892,125,126,0.3997333333,0.3271604938,0.6344845955,0.6728395062,0.6606060606,0.6666666667,165,162,gt4hist\00046962.txt,gt4hist,00046962.txt,0
..\..\groundtruth\00046963.txt,..\..\Submissions\gt4hist\00046963.txt,0.3700787402,0.3442622951,0.6425702811,127,122,0.3700787402,0.2816091954,0.671253566,0.7183908046,0.7062146893,0.7122507123,177,174,gt4hist\00046963.txt,gt4hist,00046963.txt,0
..\..\groundtruth\00046964.txt,..\..\Submissions\gt4hist\00046964.txt,0.268907563,0.2627118644,0.7341772152,119,118,0.2731092437,0.2515337423,0.7375207478,0.7484662577,0.743902439,0.74617737,164,163,gt4hist\00046964.txt,gt4hist,00046964.txt,0
..\..\groundtruth\00046965.txt,..\..\Submissions\gt4hist\00046965.txt,0.4537815126,0.4583333333,0.5439330544,119,120,0.4629851941,0.369047619,0.5802059753,0.630952381,0.6162790698,0.6235294118,172,168,gt4hist\00046965.txt,gt4hist,00046965.txt,0
..\..\groundtruth\00046966.txt,..\..\Submissions\gt4hist\00046966.txt,0.4661016949,0.4705882353,0.5316455696,118,119,0.4703389831,0.4142011834,0.5563172919,0.5857988166,0.5928143713,0.5892857143,167,169,gt4hist\00046966.txt,gt4hist,00046966.txt,0
..\..\groundtruth\00046967.txt,..\..\Submissions\gt4hist\00046967.txt,0.4247787611,0.4396551724,0.5676855895,113,116,0.4318063509,0.3618421053,0.601146929,0.6381578947,0.6178343949,0.6278317152,157,152,gt4hist\00046967.txt,gt4hist,00046967.txt,0
..\..\groundtruth\00046968.txt,..\..\Submissions\gt4hist\00046968.txt,0.4017857143,0.3909090909,0.6036036036,112,110,0.4040178571,0.3312101911,0.6302903585,0.6687898089,0.6687898089,0.6687898089,157,157,gt4hist\00046968.txt,gt4hist,00046968.txt,0
..\..\groundtruth\00046969.txt,..\..\Submissions\gt4hist\00046969.txt,0.4482758621,0.4576271186,0.547008547,116,118,0.4530172414,0.3726708075,0.5844073237,0.6273291925,0.6234567901,0.6253869969,162,161,gt4hist\00046969.txt,gt4hist,00046969.txt,0
..\..\groundtruth\00046970.txt,..\..\Submissions\gt4hist\00046970.txt,0.3846153846,0.3684210526,0.6233766234,117,114,0.3846153846,0.3245033113,0.6440410418,0.6754966887,0.6754966887,0.6754966887,151,151,gt4hist\00046970.txt,gt4hist,00046970.txt,0
..\..\groundtruth\00046971.txt,..\..\Submissions\gt4hist\00046971.txt,0.3846153846,0.3898305085,0.6127659574,117,118,0.3914529915,0.2914285714,0.6547611985,0.7085714286,0.7045454545,0.7065527066,176,175,gt4hist\00046971.txt,gt4hist,00046971.txt,0
..\..\groundtruth\00046972.txt,..\..\Submissions\gt4hist\00046972.txt,0.3388429752,0.3650793651,0.6477732794,121,126,0.3514364423,0.2865168539,0.6794762122,0.7134831461,0.693989071,0.703601108,183,178,gt4hist\00046972.txt,gt4hist,00046972.txt,0
..\..\groundtruth\00046973.txt,..\..\Submissions\gt4hist\00046973.txt,0.4609375,0.4651162791,0.5369649805,128,129,0.4681332237,0.4096385542,0.5595896322,0.5903614458,0.5536723164,0.5714285714,177,166,gt4hist\00046973.txt,gt4hist,00046973.txt,0
..\..\groundtruth\00046974.txt,..\..\Submissions\gt4hist\00046974.txt,0.4347826087,0.4347826087,0.5652173913,115,115,0.4391304348,0.3375,0.6074633496,0.6625,0.6625,0.6625,160,160,gt4hist\00046974.txt,gt4hist,00046974.txt,0
..\..\groundtruth\00046975.txt,..\..\Submissions\gt4hist\00046975.txt,0.4018691589,0.4128440367,0.5925925926,107,109,0.4149143302,0.3475177305,0.616948797,0.6524822695,0.6478873239,0.6501766784,142,141,gt4hist\00046975.txt,gt4hist,00046975.txt,0
..\..\groundtruth\00046976.txt,..\..\Submissions\gt4hist\00046976.txt,0.3140495868,0.3306451613,0.6775510204,121,124,0.3230326985,0.247311828,0.7128224808,0.752688172,0.7446808511,0.7486631016,188,186,gt4hist\00046976.txt,gt4hist,00046976.txt,0
..\..\groundtruth\00046977.txt,..\..\Submissions\gt4hist\00046977.txt,0.3333333333,0.3571428571,0.6545454545,108,112,0.3402777778,0.3081081081,0.6754242231,0.6918918919,0.7032967033,0.6975476839,182,185,gt4hist\00046977.txt,gt4hist,00046977.txt,0
..\..\groundtruth\00046978.txt,..\..\Submissions\gt4hist\00046978.txt,0.4,0.4102564103,0.5948275862,115,117,0.4095238095,0.3038674033,0.6389661377,0.6961325967,0.6847826087,0.6904109589,184,181,gt4hist\00046978.txt,gt4hist,00046978.txt,0
..\..\groundtruth\00046979.txt,..\..\Submissions\gt4hist\00046979.txt,0.4596774194,0.4682539683,0.536,124,126,0.4680107527,0.3742690058,0.57506494,0.6257309942,0.604519774,0.6149425287,177,171,gt4hist\00046979.txt,gt4hist,00046979.txt,0
..\..\groundtruth\00046980.txt,..\..\Submissions\gt4hist\00046980.txt,0.3660714286,0.3545454545,0.6396396396,112,110,0.3660714286,0.3081761006,0.6616120971,0.6918238994,0.6832298137,0.6875,161,159,gt4hist\00046980.txt,gt4hist,00046980.txt,0
..\..\groundtruth\00046981.txt,..\..\Submissions\gt4hist\00046981.txt,0.4403669725,0.4299065421,0.5648148148,109,107,0.4449541284,0.3687943262,0.5906809643,0.6312056738,0.6054421769,0.6180555556,147,141,gt4hist\00046981.txt,gt4hist,00046981.txt,0
..\..\groundtruth\00046982.txt,..\..\Submissions\gt4hist\00046982.txt,0.4615384615,0.4615384615,0.5384615385,117,117,0.4652014652,0.3579545455,0.5835352374,0.6420454545,0.6312849162,0.6366197183,179,176,gt4hist\00046982.txt,gt4hist,00046982.txt,0
..\..\groundtruth\00046983.txt,..\..\Submissions\gt4hist\00046983.txt,0.325203252,0.336,0.6693548387,123,125,0.3307549361,0.256684492,0.7043382699,0.743315508,0.7393617021,0.7413333333,188,187,gt4hist\00046983.txt,gt4hist,00046983.txt,0
..\..\groundtruth\00046984.txt,..\..\Submissions\gt4hist\00046984.txt,0.3865546218,0.3916666667,0.6108786611,119,120,0.3962184874,0.3016759777,0.6476205241,0.6983240223,0.6868131868,0.6925207756,182,179,gt4hist\00046984.txt,gt4hist,00046984.txt,0
..\..\groundtruth\00046985.txt,..\..\Submissions\gt4hist\00046985.txt,0.5684210526,0.6057692308,0.4120603015,95,104,0.5942012927,0.4657534247,0.4612470775,0.5342465753,0.5064935065,0.52,154,146,gt4hist\00046985.txt,gt4hist,00046985.txt,0
..\..\groundtruth\00046986.txt,..\..\Submissions\gt4hist\00046986.txt,0.4811320755,0.4607843137,0.5288461538,106,102,0.5070080863,0.3827160494,0.5481808727,0.6172839506,0.5714285714,0.5934718101,175,162,gt4hist\00046986.txt,gt4hist,00046986.txt,0
..\..\groundtruth\00046987.txt,..\..\Submissions\gt4hist\00046987.txt,0.4636363636,0.4824561404,0.5267857143,110,114,0.4729040404,0.391025641,0.5650846059,0.608974359,0.5828220859,0.5956112853,163,156,gt4hist\00046987.txt,gt4hist,00046987.txt,0
..\..\groundtruth\00046988.txt,..\..\Submissions\gt4hist\00046988.txt,0.3793103448,0.4,0.6101694915,116,120,0.3917025862,0.3448275862,0.6308653775,0.6551724138,0.6375838926,0.6462585034,149,145,gt4hist\00046988.txt,gt4hist,00046988.txt,0
..\..\groundtruth\00046989.txt,..\..\Submissions\gt4hist\00046989.txt,0.4903846154,0.5,0.5047619048,104,106,0.5010683761,0.4,0.5448181995,0.6,0.5714285714,0.5853658537,147,140,gt4hist\00046989.txt,gt4hist,00046989.txt,0
..\..\groundtruth\00046990.txt,..\..\Submissions\gt4hist\00046990.txt,0.3846153846,0.3739130435,0.6206896552,117,115,0.3869895537,0.3267973856,0.6416980945,0.6732026144,0.64375,0.6581469649,160,153,gt4hist\00046990.txt,gt4hist,00046990.txt,0
..\..\groundtruth\00046991.txt,..\..\Submissions\gt4hist\00046991.txt,0.3739837398,0.368852459,0.6285714286,123,122,0.389701897,0.3423913043,0.6330707271,0.6576086957,0.6612021858,0.659400545,183,184,gt4hist\00046991.txt,gt4hist,00046991.txt,0
..\..\groundtruth\00046992.txt,..\..\Submissions\gt4hist\00046992.txt,0.3963963964,0.3853211009,0.6090909091,111,109,0.399122807,0.3533333333,0.6229316083,0.6466666667,0.6298701299,0.6381578947,154,150,gt4hist\00046992.txt,gt4hist,00046992.txt,0
