groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00451920.txt,..\..\Submissions\gt4hist\00451920.txt,1336,1355,0.871257485,gt4hist\00451920.txt,gt4hist,00451920.txt,0
..\..\groundtruth\00451921.txt,..\..\Submissions\gt4hist\00451921.txt,1983,2050,0.8648512355,gt4hist\00451921.txt,gt4hist,00451921.txt,0
..\..\groundtruth\00451922.txt,..\..\Submissions\gt4hist\00451922.txt,731,788,0.7523939808,gt4hist\00451922.txt,gt4hist,00451922.txt,0
..\..\groundtruth\00451923.txt,..\..\Submissions\gt4hist\00451923.txt,1034,1054,0.5638297872,gt4hist\00451923.txt,gt4hist,00451923.txt,0
..\..\groundtruth\00451924.txt,..\..\Submissions\gt4hist\00451924.txt,568,547,0.4823943662,gt4hist\00451924.txt,gt4hist,00451924.txt,0
..\..\groundtruth\00451925.txt,..\..\Submissions\gt4hist\00451925.txt,560,619,0.6982142857,gt4hist\00451925.txt,gt4hist,00451925.txt,0
..\..\groundtruth\00451926.txt,..\..\Submissions\gt4hist\00451926.txt,1435,1438,0.8717770035,gt4hist\00451926.txt,gt4hist,00451926.txt,0
..\..\groundtruth\00451927.txt,..\..\Submissions\gt4hist\00451927.txt,1468,1458,0.8603542234,gt4hist\00451927.txt,gt4hist,00451927.txt,0
..\..\groundtruth\00451928.txt,..\..\Submissions\gt4hist\00451928.txt,1431,1445,0.8958770091,gt4hist\00451928.txt,gt4hist,00451928.txt,0
..\..\groundtruth\00451929.txt,..\..\Submissions\gt4hist\00451929.txt,1192,1213,0.8473154362,gt4hist\00451929.txt,gt4hist,00451929.txt,0
..\..\groundtruth\00451930.txt,..\..\Submissions\gt4hist\00451930.txt,1403,1421,0.8888096935,gt4hist\00451930.txt,gt4hist,00451930.txt,0
..\..\groundtruth\00451931.txt,..\..\Submissions\gt4hist\00451931.txt,1456,1486,0.6826923077,gt4hist\00451931.txt,gt4hist,00451931.txt,0
..\..\groundtruth\00451932.txt,..\..\Submissions\gt4hist\00451932.txt,1504,1520,0.8909574468,gt4hist\00451932.txt,gt4hist,00451932.txt,0
..\..\groundtruth\00451933.txt,..\..\Submissions\gt4hist\00451933.txt,1477,1500,0.8937034529,gt4hist\00451933.txt,gt4hist,00451933.txt,0
..\..\groundtruth\00451934.txt,..\..\Submissions\gt4hist\00451934.txt,1508,1509,0.8766578249,gt4hist\00451934.txt,gt4hist,00451934.txt,0
..\..\groundtruth\00451935.txt,..\..\Submissions\gt4hist\00451935.txt,1439,1469,0.8825573315,gt4hist\00451935.txt,gt4hist,00451935.txt,0
..\..\groundtruth\00451936.txt,..\..\Submissions\gt4hist\00451936.txt,1235,1250,0.783805668,gt4hist\00451936.txt,gt4hist,00451936.txt,0
..\..\groundtruth\00451937.txt,..\..\Submissions\gt4hist\00451937.txt,1513,1541,0.879709187,gt4hist\00451937.txt,gt4hist,00451937.txt,0
..\..\groundtruth\00451938.txt,..\..\Submissions\gt4hist\00451938.txt,1468,1502,0.8971389646,gt4hist\00451938.txt,gt4hist,00451938.txt,0
..\..\groundtruth\00451939.txt,..\..\Submissions\gt4hist\00451939.txt,1464,1493,0.8743169399,gt4hist\00451939.txt,gt4hist,00451939.txt,0
..\..\groundtruth\00451940.txt,..\..\Submissions\gt4hist\00451940.txt,1463,1477,0.8981544771,gt4hist\00451940.txt,gt4hist,00451940.txt,0
